DATE,TERM,RATE,DAY
36528,1,0.045282771,1
36528,7,0.046164333,1
36528,30,0.048832752,1
36528,90,0.050090498,1
36528,180,0.05241646,1
36528,365,0.056576907,1
36528,730,0.059854991,1
36528,1095,0.062264256,1
36528,1460,0.063160678,1
36528,1825,0.062508435,1
36528,2190,0.062590945,1
36528,2555,0.063165496,1
36528,2920,0.063453163,1
36528,3285,0.063445975,1
36528,3650,0.063328698,1
36528,4380,0.063175416,1
36528,5475,0.064266213,1
36528,7300,0.064726601,1
36528,9125,0.062310931,1
36528,10950,0.060442077,1
36529,1,0.046307933,2
36529,7,0.046908905,2
36529,30,0.048824623,2
36529,90,0.050254894,2
36529,180,0.052477711,2
36529,365,0.057670739,2
36529,730,0.06100034,2
36529,1095,0.06352706,2
36529,1460,0.064404348,2
36529,1825,0.063715531,2
36529,2190,0.063899218,2
36529,2555,0.064557749,2
36529,2920,0.064762264,2
36529,3285,0.064631377,2
36529,3650,0.064545567,2
36529,4380,0.064760354,2
36529,5475,0.065283771,2
36529,7300,0.065685653,2
36529,9125,0.063718949,2
36529,10950,0.062565528,2
36530,1,0.046367802,3
36530,7,0.046980588,3
36530,30,0.048934491,3
36530,90,0.050462531,3
36530,180,0.052752544,3
36530,365,0.057808585,3
36530,730,0.06206386,3
36530,1095,0.064543372,3
36530,1460,0.065399435,3
36530,1825,0.064814421,3
36530,2190,0.06495016,3
36530,2555,0.065519779,3
36530,2920,0.065745223,3
36530,3285,0.06567917,3
36530,3650,0.065581978,3
36530,4380,0.065767216,3
36530,5475,0.066920138,3
36530,7300,0.066900127,3
36530,9125,0.06447362,3
36530,10950,0.062534496,3
36531,1,0.046270108,4
36531,7,0.046915072,4
36531,30,0.048953397,4
36531,90,0.050722169,4
36531,180,0.053557873,4
36531,365,0.058472314,4
36531,730,0.061395602,4
36531,1095,0.063898723,4
36531,1460,0.064767292,4
36531,1825,0.064184584,4
36531,2190,0.06435247,4
36531,2555,0.064871049,4
36531,2920,0.064911081,4
36531,3285,0.064700088,4
36531,3650,0.064729783,4
36531,4380,0.066077042,4
36531,5475,0.066873499,4
36531,7300,0.066104624,4
36531,9125,0.06380663,4
36531,10950,0.06260515,4
36532,1,0.046242797,5
36532,7,0.046879372,5
36532,30,0.048908787,5
36532,90,0.050842618,5
36532,180,0.053741882,5
36532,365,0.058363406,5
36532,730,0.061278351,5
36532,1095,0.063781211,5
36532,1460,0.064518351,5
36532,1825,0.064126415,5
36532,2190,0.0644036,5
36532,2555,0.064941697,5
36532,2920,0.065014364,5
36532,3285,0.064801778,5
36532,3650,0.064710748,5
36532,4380,0.065425175,5
36532,5475,0.06629457,5
36532,7300,0.065858612,5
36532,9125,0.063644216,5
36532,10950,0.062267674,5
36535,1,0.046288338,1
36535,7,0.046917769,1
36535,30,0.048921628,1
36535,90,0.050854253,1
36535,180,0.053727064,1
36535,365,0.058156078,1
36535,730,0.061521472,1
36535,1095,0.063780963,1
36535,1460,0.064856764,1
36535,1825,0.064131772,1
36535,2190,0.064254764,1
36535,2555,0.064921304,1
36535,2920,0.065159998,1
36535,3285,0.065060627,1
36535,3650,0.064978268,1
36535,4380,0.065194783,1
36535,5475,0.065740827,1
36535,7300,0.065924614,1
36535,9125,0.063609927,1
36535,10950,0.062580297,1
36536,1,0.046250128,2
36536,7,0.046914994,2
36536,30,0.049016817,2
36536,90,0.050932205,2
36536,180,0.053868892,2
36536,365,0.058433341,2
36536,730,0.061773823,2
36536,1095,0.064115976,2
36536,1460,0.06502682,2
36536,1825,0.064465497,2
36536,2190,0.064667842,2
36536,2555,0.065296048,2
36536,2920,0.065490038,2
36536,3285,0.065348209,2
36536,3650,0.065208578,2
36536,4380,0.065458505,2
36536,5475,0.066407022,2
36536,7300,0.066485183,2
36536,9125,0.064022622,2
36536,10950,0.062062202,2
36537,1,0.046471243,3
36537,7,0.047136006,3
36537,30,0.049254532,3
36537,90,0.051124121,3
36537,180,0.05389605,3
36537,365,0.058798885,3
36537,730,0.062069851,3
36537,1095,0.064422551,3
36537,1460,0.065477635,3
36537,1825,0.064951015,3
36537,2190,0.065124171,3
36537,2555,0.065725275,3
36537,2920,0.065949451,3
36537,3285,0.065872208,3
36537,3650,0.065789149,3
36537,4380,0.065881608,3
36537,5475,0.066133789,3
36537,7300,0.066011272,3
36537,9125,0.063674944,3
36537,10950,0.062760227,3
36538,1,0.04624542,4
36538,7,0.046915111,4
36538,30,0.049028708,4
36538,90,0.05089513,4
36538,180,0.053802063,4
36538,365,0.058464136,4
